group,sense,tag,word,def,example
Upward trend,describe a rise (Task 1),t1,increase,neutral verb for any rise; the safest all-purpose choice,The number of visitors increased from 2 million to 5 million over the decade.
Upward trend,describe a rise (Task 1),t1,rise,common neutral synonym for increase; works as verb or noun,Sales rose steadily throughout the first half of the year.
Upward trend,describe a rise (Task 1),t1,grow,"use for gradual expansion, especially populations or economies",The urban population grew significantly between 2000 and 2020.
Upward trend,describe a rise (Task 1),t1,climb,"for a gradual, continuous rise; slightly more vivid than 'rise'",Average temperatures climbed slowly across the period shown.
Upward trend,describe a rise (Task 1),t1,surge,"for a sudden, large rise; stronger than 'increase'",Demand for electric cars surged after 2015.
Upward trend,describe a rise (Task 1),t1,soar,for a very steep rise; stronger than 'increase',House prices soared dramatically in the final five years.
Upward trend,describe a rise (Task 1),t1,rocket,"for an extremely rapid, dramatic rise; informal but vivid",Internet usage rocketed from 10 to 80 percent within a decade.
Upward trend,describe a rise (Task 1),t1,go up,informal phrasal verb; avoid overuse in formal Task 1 writing,Prices went up sharply during the period.
Upward trend,describe a rise (Task 1),t1,an upward trend,noun phrase to summarise an overall rising pattern,"Overall, the data shows an upward trend in renewable energy use."
Upward trend,describe a rise (Task 1),t1,reach a peak,for the highest point before a figure falls or levels off,Visitor numbers reached a peak of 5 million in 2010.
Upward trend,describe a rise (Task 1),t1,peak at,use with the exact figure of the highest point,"Sales peaked at 80,000 units before declining."
Upward trend,describe a rise (Task 1),t1,hit a high,informal way to mark a maximum value; pair with a figure,Unemployment hit a high of 12 percent in 2009.
Downward trend,describe a fall (Task 1),t1,decrease,neutral verb for any fall; the safest all-purpose choice,The number of farms decreased from 500 to 200 over the period.
Downward trend,describe a fall (Task 1),t1,fall,common neutral synonym for decrease; works as verb or noun,Birth rates fell steadily after 1990.
Downward trend,describe a fall (Task 1),t1,decline,"slightly formal; good for gradual, sustained falls",Manufacturing output declined gradually throughout the decade.
Downward trend,describe a fall (Task 1),t1,drop,"for a clear, often sudden fall; works as verb or noun",Car sales dropped sharply during the recession.
Downward trend,describe a fall (Task 1),t1,plummet,"for a very steep, sudden fall; stronger than 'decrease'",Share prices plummeted in the final quarter.
Downward trend,describe a fall (Task 1),t1,plunge,"for a dramatic, rapid fall; similar to 'plummet'",Tourist numbers plunged after the new tax was introduced.
Downward trend,describe a fall (Task 1),t1,dip,"for a small, often temporary fall before recovery",Sales dipped slightly in March before rising again.
Downward trend,describe a fall (Task 1),t1,go down,informal phrasal verb; avoid overuse in formal Task 1 writing,Prices went down a little towards the end of the year.
Downward trend,describe a fall (Task 1),t1,a downward trend,noun phrase to summarise an overall falling pattern,The chart reveals a clear downward trend in coal consumption.
Downward trend,describe a fall (Task 1),t1,hit a low,informal way to mark a minimum value; pair with a figure,"Production hit a low of 5,000 units in 2008."
Downward trend,describe a fall (Task 1),t1,bottom out,for reaching the lowest point before recovering,Prices bottomed out in 2012 and then began to recover.
Downward trend,describe a fall (Task 1),t1,fall to a low of,use with the exact figure of the lowest point,The figure fell to a low of 2 percent in 2015.
Stability & fluctuation,no change or up-and-down (Task 1),t1,remain stable,for figures that stay broadly the same over time,Inflation remained stable at around 2 percent throughout the period.
Stability & fluctuation,no change or up-and-down (Task 1),t1,level off,for a figure that stops rising or falling and flattens,"After rising sharply, prices levelled off in 2010."
Stability & fluctuation,no change or up-and-down (Task 1),t1,plateau,verb or noun for a flat phase after change; formal,"Sales plateaued at 50,000 units for three years."
