group,sense,tag,word,def,example
Buying time & fillers,stay fluent while you think (any part),all,That’s an interesting question,buys a moment to plan before a Part 3 answer,That’s an interesting question — I’ve never really thought about it.
Buying time & fillers,stay fluent while you think (any part),all,Let me think for a second,"signals you are thinking, not stuck, without dead silence",Let me think for a second… I suppose the main reason is cost.
Buying time & fillers,stay fluent while you think (any part),all,"Well, it depends",natural opener that earns thinking time and sets up nuance,"Well, it depends — for some people it’s great, for others not so much."
Buying time & fillers,stay fluent while you think (any part),all,Off the top of my head,"introduce a quick, unprepared answer","Off the top of my head, I’d say convenience is the biggest factor."
Buying time & fillers,stay fluent while you think (any part),all,How can I put this,buys time while you search for the right wording,How can I put this… it’s a bit of a double-edged sword.
Buying time & fillers,stay fluent while you think (any part),all,The thing is,flags that the real point is coming,"The thing is, most people simply don’t have the time."
Giving an opinion,state your view clearly (Part 3),p3,If you ask me,"casual, natural way to introduce a personal opinion","If you ask me, social media does more harm than good."
Giving an opinion,state your view clearly (Part 3),p3,I’d say (that),"soft, fluent way to commit to a view",I’d say education is by far the most important factor.
Giving an opinion,state your view clearly (Part 3),p3,Personally,signal a personal stance to open an answer,"Personally, I think working from home suits most people."
Giving an opinion,state your view clearly (Part 3),p3,As far as I’m concerned,emphatic way to mark a firm personal opinion,"As far as I’m concerned, it’s the government’s responsibility."
Giving an opinion,state your view clearly (Part 3),p3,I’m a firm believer in,"strong, confident statement of a value or view",I’m a firm believer in learning by doing.
Giving an opinion,state your view clearly (Part 3),p3,I tend to think,"soften an opinion so it sounds measured, not dogmatic",I tend to think people worry about it more than they need to.
Agreeing & disagreeing,respond to a view (Part 3),p3,I couldn’t agree more,emphatic agreement; stronger than ‘I agree’,I couldn’t agree more — it’s exactly what I was thinking.
Agreeing & disagreeing,respond to a view (Part 3),p3,"That’s a fair point, but",concede before disagreeing — sounds balanced,"That’s a fair point, but I still think the benefits win out."
Agreeing & disagreeing,respond to a view (Part 3),p3,"I see what you mean, however",acknowledge then push back politely,"I see what you mean, however the evidence suggests otherwise."
Agreeing & disagreeing,respond to a view (Part 3),p3,I’m not so sure about that,disagree gently without being blunt,"I’m not so sure about that, to be honest."
Agreeing & disagreeing,respond to a view (Part 3),p3,It’s not as simple as that,challenge an over-simple claim and add nuance,It’s not as simple as that — there are trade-offs either way.
Agreeing & disagreeing,respond to a view (Part 3),p3,up to a point,"agree partially, leaving room to qualify","I agree up to a point, but it has its downsides too."
Degrees of certainty,speculate & predict (Part 3),p3,It’s bound to,express near-certainty about the future,Prices are bound to keep rising over the next few years.
Degrees of certainty,speculate & predict (Part 3),p3,There’s a good chance (that),state a strong probability,There’s a good chance remote work will become the norm.
Degrees of certainty,speculate & predict (Part 3),p3,It’s highly unlikely,express strong doubt about something happening,It’s highly unlikely things will go back to how they were.
Degrees of certainty,speculate & predict (Part 3),p3,I suppose / I imagine,soft speculation when you’re unsure,I imagine most people would prefer the convenience.
Degrees of certainty,speculate & predict (Part 3),p3,presumably,draw a likely inference; sounds analytical,"Presumably, that’s why younger people are leaving the area."
Degrees of certainty,speculate & predict (Part 3),p3,in all likelihood,formal hedge for a confident prediction,"In all likelihood, technology will solve part of the problem."
Linking & sequencing,join ideas naturally (any part),all,on top of that,add a further point; more natural than ‘moreover’ in speech,"It’s cheap, and on top of that it’s really convenient."
Linking & sequencing,join ideas naturally (any part),all,the thing is,introduce the key point or a complication,"The thing is, not everyone can afford it."
Linking & sequencing,join ideas naturally (any part),all,what’s more,"spoken linker for an extra, stronger point","It saves time, and what’s more, it’s better for the planet."
Linking & sequencing,join ideas naturally (any part),all,having said that,signal a contrast with what you just said,"I love the city. Having said that, it can get exhausting."
Linking & sequencing,join ideas naturally (any part),all,eventually,mark the final stage of a sequence (better than ‘and then’),"We got lost, walked for hours, and eventually found the place."
Linking & sequencing,join ideas naturally (any part),all,as a result,introduce a consequence in a clear chain,"I started exercising, and as a result I sleep far better now."
Giving examples,illustrate a point (any part),all,for instance,introduce a specific example; varies from ‘for example’,"Take my brother, for instance — he works entirely from home."
Giving examples,illustrate a point (any part),all,take … for example,spotlight one case to prove a general point,"Take big cities, for example — the cost of living is huge."
Giving examples,illustrate a point (any part),all,a good example (of this) would be,set up a clear illustration,A good example would be how quickly phones replaced cameras.
Giving examples,illustrate a point (any part),all,let’s say,introduce a hypothetical example,Let’s say you move abroad — you’d have to start from scratch.
Giving examples,illustrate a point (any part),all,in my case,give a personal example to support a claim,"In my case, learning a language opened a lot of doors."
Giving examples,illustrate a point (any part),all,I remember when,lead into a short personal anecdote (great for Part 2),I remember when I first tried it — I was terrible at it.
"Likes, dislikes & preferences",talk about what you enjoy (Part 1),p1,I’m really into,express strong enjoyment of a hobby or topic,I’m really into hiking — I go most weekends.
"Likes, dislikes & preferences",talk about what you enjoy (Part 1),p1,I can’t stand,express strong dislike; vivid and natural,I can’t stand being stuck in traffic.
