group,sense,tag,note,word,def,example
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,rise,"to go up in amount, number, or level",Global temperatures have continued to rise steadily over the past century.
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,grow,"to become larger in size, amount, or degree",The economy is expected to grow by three percent next year.
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,climb,to increase gradually to a higher level,Unemployment figures climbed sharply during the recession.
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,surge,to increase suddenly and strongly,Demand for electric vehicles surged after the new subsidies were introduced.
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,soar,to rise quickly to a very high level,Housing prices soared in the city's central districts last year.
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,escalate,"to increase rapidly, often becoming more serious",Tensions escalated as the dispute over resources intensified.
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,expand,"to grow larger in size, scope, or number",The company expanded its operations into several overseas markets.
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,boom,to grow very rapidly and successfully,Tourism boomed once the region improved its transport links.
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,proliferate,to increase rapidly in number and spread widely,Online learning platforms have proliferated since the pandemic began.
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,mount,to gradually increase in amount or intensity,Pressure mounted on the government to address rising inequality.
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,accelerate,to increase or happen at a faster rate,Deforestation has accelerated across the tropics in recent decades.
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,spike,to rise sharply for a short period,Infection rates spiked briefly during the winter months.
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,rocket,to increase very quickly and dramatically,Fuel costs rocketed following the supply disruption.
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,be on the rise,to be steadily increasing over time,Cases of childhood obesity are on the rise in many countries.
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,a marked growth in,a clear and noticeable increase in something,Researchers reported a marked growth in renewable energy investment.
Increase / go up,"rise, become more or larger",trends,Watch the strength: surge / soar / rocket = sharp; creep up / edge up = slight.,an upturn in,an improvement or increase after a decline,Analysts predicted an upturn in consumer spending this quarter.
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,fall,"to become lower in amount, number, or level",Birth rates have fallen significantly across developed nations.
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,decline,to gradually become less or weaker,Membership in traditional clubs has declined over the years.
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,drop,"to become lower or less, often suddenly",Sales dropped after the company raised its prices.
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,plummet,to fall very quickly and steeply,Share prices plummeted following the unexpected announcement.
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,plunge,to decrease suddenly and by a large amount,Temperatures plunged overnight to record lows.
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,dwindle,to gradually become smaller in number or amount,Fish stocks have dwindled due to years of overfishing.
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,diminish,to gradually become less in size or importance,The drug's effectiveness diminishes with prolonged use.
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,shrink,to become smaller in size or amount,The glacier has shrunk dramatically over the past fifty years.
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,contract,"to become smaller, especially of an economy",The economy contracted for two consecutive quarters.
Decrease / go down,"fall, become less or smaller",trends,plummet / plunge / slump = steep fall; dwindle / taper / wane = gradual.,taper off,to gradually decrease and eventually stop,Funding for the project tapered off as priorities shifted.
