group,sense,word,def,example
Research & evidence,verbs and phrases around studying and proof,conduct / carry out research,"to do a planned, systematic investigation into a topic or question",The university conducted research into how sleep affects students' memory and concentration.
Research & evidence,verbs and phrases around studying and proof,a study found that,phrase introducing a research result or conclusion when reporting findings,A recent study found that regular exercise improves mood more than previously assumed.
Research & evidence,verbs and phrases around studying and proof,a body of evidence,a large collection of facts or proof supporting a particular conclusion,A growing body of evidence links air pollution to long-term respiratory disease.
Research & evidence,verbs and phrases around studying and proof,empirical evidence,proof based on observation or experiment rather than theory or opinion,"The theory lacked empirical evidence, so few scientists were willing to accept it."
Research & evidence,verbs and phrases around studying and proof,anecdotal evidence,"informal proof from personal stories, considered unreliable in serious research","The claim rested only on anecdotal evidence, not on any controlled experiments."
Research & evidence,verbs and phrases around studying and proof,shed light on,to provide new information that helps explain or clarify something,The excavation sheds light on how ancient farmers managed scarce water supplies.
Research & evidence,verbs and phrases around studying and proof,lend support to,"to provide evidence that strengthens a theory, claim or argument",The new fossils lend support to the idea that birds descended from dinosaurs.
Research & evidence,verbs and phrases around studying and proof,cast doubt on,"to make something seem less certain, true or reliable",The flawed method casts doubt on the reliability of the entire experiment.
Research & evidence,verbs and phrases around studying and proof,yield results,"to produce findings or outcomes, often from research or effort",The long-term trial finally yielded results that surprised the research team.
Research & evidence,verbs and phrases around studying and proof,gather data,"to collect facts, figures or information for analysis",Researchers gathered data from thousands of households across several regions.
Research & evidence,verbs and phrases around studying and proof,draw on findings,to use existing research results as a basis for new work,The report draws on findings from earlier studies of urban migration patterns.
Research & evidence,verbs and phrases around studying and proof,corroborate a claim,to confirm or support a statement with additional evidence,Independent witnesses corroborated the claim that the eruption began at dawn.
Research & evidence,verbs and phrases around studying and proof,replicate a study,to repeat research under the same conditions to test its reliability,"Other scientists failed to replicate the study, raising doubts about its conclusions."
Research & evidence,verbs and phrases around studying and proof,a sample size,the number of people or items included in a research study,The small sample size meant the results could not be generalised confidently.
Research & evidence,verbs and phrases around studying and proof,statistically significant,"unlikely to be caused by chance, in statistical terms","The difference between the two groups was statistically significant, supporting the hypothesis."
Cause & impact,expressing influence and consequence,pose a threat / risk,to be a possible source of danger or harm to something,Rising sea levels pose a serious threat to low-lying coastal communities.
Cause & impact,expressing influence and consequence,give rise to,"to cause something to happen or exist, often a problem",Rapid urban growth gave rise to severe traffic congestion and housing shortages.
Cause & impact,expressing influence and consequence,have an impact on,to have a noticeable effect or influence on something,Social media has had a profound impact on how teenagers communicate.
Cause & impact,expressing influence and consequence,account for (40%),to form or make up a particular share or proportion of something,Transport accounts for nearly 40% of the country's carbon emissions.
Cause & impact,expressing influence and consequence,exert influence over,to have power that affects how something develops or behaves,Multinational firms exert considerable influence over local environmental policy.
Cause & impact,expressing influence and consequence,take a toll on,"to cause gradual harm, damage or loss to something",Years of overwork took a heavy toll on her physical and mental health.
Cause & impact,expressing influence and consequence,contribute to,to be one of the causes that helps produce a result,Deforestation contributes to soil erosion and the loss of biodiversity.
Cause & impact,expressing influence and consequence,stem from,to be caused by or originate from a particular source,Many of these conflicts stem from competition over scarce natural resources.
Cause & impact,expressing influence and consequence,trigger a response,to cause a reaction or set of actions to begin,The new tax policy triggered an immediate response from business leaders.
Cause & impact,expressing influence and consequence,result in,to cause a particular outcome or consequence to happen,Prolonged drought resulted in widespread crop failure across the region.
Cause & impact,expressing influence and consequence,a knock-on effect,an indirect result that follows from an earlier event or action,Factory closures had a knock-on effect on local shops and services.
Cause & impact,expressing influence and consequence,a ripple effect,a spreading series of consequences arising from one event,The bank's collapse created a ripple effect throughout the global economy.
Cause & impact,expressing influence and consequence,the root cause,"the most basic, underlying reason for a problem",Poverty was identified as the root cause of the region's poor health.
Cause & impact,expressing influence and consequence,a contributing factor,one of several things that helps cause a result,Poor diet is a major contributing factor in the rise of obesity.
Cause & impact,expressing influence and consequence,far-reaching consequences,effects that are extensive and affect many things over time,The decision had far-reaching consequences for the country's energy supply.
Argument & reasoning,how writers build and weigh claims,draw a conclusion,to form a judgement or decision after considering the evidence,"From these results, we can draw the conclusion that the treatment is effective."
Argument & reasoning,how writers build and weigh claims,draw a distinction,to point out a clear difference between two things,The author draws a distinction between weather and long-term climate patterns.
Argument & reasoning,how writers build and weigh claims,reach a consensus,to arrive at general agreement among a group of people,"After lengthy debate, the committee finally reached a consensus on the proposal."
Argument & reasoning,how writers build and weigh claims,make a case for,to give arguments supporting a particular idea or course of action,The report makes a strong case for investing in renewable energy.
Argument & reasoning,how writers build and weigh claims,put forward a theory,to suggest or propose an explanation for consideration,Darwin put forward a theory that revolutionised our understanding of life.
Argument & reasoning,how writers build and weigh claims,raise questions about,to cause people to feel doubt or uncertainty about something,The findings raise serious questions about the safety of the drug.
Argument & reasoning,how writers build and weigh claims,challenge the assumption,to question whether a widely accepted belief is actually true,The study challenges the assumption that money always increases happiness.
Argument & reasoning,how writers build and weigh claims,lend weight to,to make an argument or idea seem more convincing or important,The fresh data lends weight to the theory of early human migration.
Argument & reasoning,how writers build and weigh claims,call into question,to cause doubt about whether something is true or valid,The errors call into question the accuracy of the entire dataset.
Argument & reasoning,how writers build and weigh claims,concede a point,to admit that part of an opposing argument is correct,Even critics concede the point that the policy reduced unemployment.
Argument & reasoning,how writers build and weigh claims,a compelling argument,a persuasive argument that is difficult to disagree with,She presented a compelling argument for reforming the examination system.
Argument & reasoning,how writers build and weigh claims,a line of reasoning,a connected sequence of thoughts leading to a conclusion,"His line of reasoning was logical, but it rested on a false premise."
Argument & reasoning,how writers build and weigh claims,a counter-argument,an argument made against another argument or position,The essay anticipates the obvious counter-argument and refutes it effectively.
Argument & reasoning,how writers build and weigh claims,on the grounds that,used to give the reason or justification for something,The proposal was rejected on the grounds that it was too expensive.
Argument & reasoning,how writers build and weigh claims,in light of,considering or taking account of a particular fact,"In light of recent evidence, the original theory must be revised."
Quantity & range,vague but high-frequency measure phrases,a wide range of,a large variety of different things of the same type,The museum displays a wide range of artefacts from many ancient cultures.
Quantity & range,vague but high-frequency measure phrases,a wealth of,"a large, valuable amount of something, especially information",The archive contains a wealth of information about the city's history.
Quantity & range,vague but high-frequency measure phrases,a growing body of,"an increasing collection of research, evidence or knowledge",A growing body of research suggests that gardening reduces stress levels.
Quantity & range,vague but high-frequency measure phrases,the vast majority of,almost all of a group of people or things,The vast majority of respondents supported stricter recycling regulations.
