group,sense,tag,word,def,example
Picture-sentence verbs,common actions for Q1–5,Q1-5,is / are + -ing,present continuous — the default picture tense,The woman is writing in a notebook.
Picture-sentence verbs,common actions for Q1–5,Q1-5,there is / there are,state what exists in the photo,There are several boxes on the floor.
Picture-sentence verbs,common actions for Q1–5,Q1-5,is wearing,describe clothing,The man is wearing a yellow helmet.
Picture-sentence verbs,common actions for Q1–5,Q1-5,is holding,describe what someone has in hand,She is holding an umbrella.
Picture-sentence verbs,common actions for Q1–5,Q1-5,is looking at,describe gaze or attention,The students are looking at the screen.
Picture-sentence verbs,common actions for Q1–5,Q1-5,is being + past participle,passive for an action done to something,The car is being repaired in the garage.
Connectors & prepositions,when the given word sets the structure (Q1–5),Q1-5,because,give a reason; forces a two-clause sentence,He is running because he is late.
Connectors & prepositions,when the given word sets the structure (Q1–5),Q1-5,while,two things happening at once,She is cooking while she talks on the phone.
Connectors & prepositions,when the given word sets the structure (Q1–5),Q1-5,although,concession in one sentence,"Although it is raining, they are playing outside."
Connectors & prepositions,when the given word sets the structure (Q1–5),Q1-5,next to / beside,preposition of place; pairs with there is/are,There is a chair next to the desk.
Connectors & prepositions,when the given word sets the structure (Q1–5),Q1-5,in front of / behind,relative position of objects,A car is parked in front of the store.
Connectors & prepositions,when the given word sets the structure (Q1–5),Q1-5,during,preposition of time within an event,People are taking photos during the parade.
Email openings,start a reply politely (Q6–7),Q6-7,Thank you for your email regarding,polite opener referencing their message,Thank you for your email regarding the job opening.
Email openings,start a reply politely (Q6–7),Q6-7,I am writing in response to,formal opener stating your purpose,I am writing in response to your advertisement.
Email openings,start a reply politely (Q6–7),Q6-7,I hope this email finds you well,courteous opening line,I hope this email finds you well.
Email openings,start a reply politely (Q6–7),Q6-7,Thank you for reaching out,warm but professional acknowledgement,Thank you for reaching out about our services.
Email openings,start a reply politely (Q6–7),Q6-7,It was a pleasure to,open after a prior interaction,It was a pleasure to meet you at the conference.
Email requests & questions,ask politely (Q6–7),Q6-7,Could you please,polite request for an action,Could you please send me the updated schedule?
Email requests & questions,ask politely (Q6–7),Q6-7,I would like to know,introduce an indirect question,I would like to know whether the item is in stock.
Email requests & questions,ask politely (Q6–7),Q6-7,Would it be possible to,"polite, tentative request",Would it be possible to reschedule our meeting?
Email requests & questions,ask politely (Q6–7),Q6-7,I was wondering if,"soft, professional way to ask",I was wondering if you offer a discount for bulk orders.
Email requests & questions,ask politely (Q6–7),Q6-7,Please let me know whether,request a yes/no decision,Please let me know whether Friday works for you.
Email giving information,state facts & suggestions (Q6–7),Q6-7,I would like to inform you that,deliver information formally,I would like to inform you that your order has shipped.
Email giving information,state facts & suggestions (Q6–7),Q6-7,Please note that,flag an important detail,Please note that the deadline is this Friday.
Email giving information,state facts & suggestions (Q6–7),Q6-7,I would suggest,make a polite suggestion,I would suggest booking the venue in advance.
Email giving information,state facts & suggestions (Q6–7),Q6-7,"Unfortunately,",soften delivering bad news,"Unfortunately, the product is currently out of stock."
Email giving information,state facts & suggestions (Q6–7),Q6-7,"As requested,",introduce something they asked for,"As requested, I have attached the report."
Email closings,sign off professionally (Q6–7),Q6-7,Please let me know if you have any questions,standard helpful closing line,Please let me know if you have any questions.
Email closings,sign off professionally (Q6–7),Q6-7,I look forward to hearing from you,polite forward-looking close,I look forward to hearing from you soon.
Email closings,sign off professionally (Q6–7),Q6-7,Thank you for your time and consideration,"courteous close, esp. for requests",Thank you for your time and consideration.
Email closings,sign off professionally (Q6–7),Q6-7,"Best regards, / Kind regards,",standard formal sign-off,"Best regards, Lan Nguyen."
Email closings,sign off professionally (Q6–7),Q6-7,Should you need anything further,offer continued help formally,"Should you need anything further, please contact me."
Essay introductions,open the Q8 essay,Q8,It is often argued that,introduce a common view to frame the topic,It is often argued that technology harms communication.
Essay introductions,open the Q8 essay,Q8,"In today’s world,",set a contemporary context,"In today’s world, remote work is increasingly common."
Essay introductions,open the Q8 essay,Q8,In my opinion / I firmly believe that,state your thesis clearly,"In my opinion, the benefits clearly outweigh the drawbacks."
Essay introductions,open the Q8 essay,Q8,for several / two main reasons,signal the essay’s structure,I support this view for two main reasons.
Essay introductions,open the Q8 essay,Q8,This essay will argue that,explicit thesis statement,This essay will argue that flexible hours improve productivity.
Essay body linkers,develop & connect ideas (Q8),Q8,First and foremost,introduce the strongest first reason,"First and foremost, remote work increases flexibility."
Essay body linkers,develop & connect ideas (Q8),Q8,Moreover / Furthermore,add a further supporting point,"Moreover, it reduces commuting costs."
Essay body linkers,develop & connect ideas (Q8),Q8,For instance / For example,support a claim with a concrete case,"For example, employees save hours each week."
Essay body linkers,develop & connect ideas (Q8),Q8,As a result / Consequently,introduce a consequence,"As a result, productivity tends to rise."
Essay body linkers,develop & connect ideas (Q8),Q8,Although / While,concede the other side before countering,"Although there are challenges, the benefits are greater."
Essay body linkers,develop & connect ideas (Q8),Q8,This is because,explain the reasoning behind a point,This is because workers feel more in control of their time.
Essay conclusions,close the Q8 essay,Q8,In conclusion,the standard concluding signpost,"In conclusion, the advantages far outweigh the disadvantages."
Essay conclusions,close the Q8 essay,Q8,To sum up,alternative wrap-up opener,"To sum up, flexible work benefits both sides."
Essay conclusions,close the Q8 essay,Q8,For these reasons,tie the conclusion to your arguments,"For these reasons, I firmly believe it is a positive trend."
Essay conclusions,close the Q8 essay,Q8,"Overall,",give a final balanced judgement,"Overall, the shift toward remote work should be encouraged."
Essay conclusions,close the Q8 essay,Q8,"Therefore, I strongly believe that",restate your position emphatically,"Therefore, I strongly believe companies should adopt it."
