group,sense,tag,word,def,example
Reading aloud — delivery cues,phrases that pattern in Q1–2 texts,Q1-2,We are pleased to announce,common opener in announcements; stress ‘pleased’ and ‘announce’,We are pleased to announce the opening of our new branch.
Reading aloud — delivery cues,phrases that pattern in Q1–2 texts,Q1-2,Don’t miss,"advertising imperative; falling, emphatic tone",Don’t miss our biggest sale of the year!
Reading aloud — delivery cues,phrases that pattern in Q1–2 texts,Q1-2,located at / on,introduces an address; read the number clearly,The store is conveniently located on Fifth Avenue.
Reading aloud — delivery cues,phrases that pattern in Q1–2 texts,Q1-2,"for more information, visit",closing call-to-action; steady pace to the end,"For more information, visit our website or call us today."
Reading aloud — delivery cues,phrases that pattern in Q1–2 texts,Q1-2,ranging from … to …,"a list/scale; rise on the first item, fall on the last",We offer classes ranging from beginner to advanced.
Reading aloud — delivery cues,phrases that pattern in Q1–2 texts,Q1-2,whether you are … or …,paired structure; keep parallel intonation,"Whether you are a student or a professional, we have a plan for you."
Framing a picture,open the description (Q3–4),Q3-4,This picture was taken in / at,your reliable opening line; sets the scene,This picture was taken in a modern office.
Framing a picture,open the description (Q3–4),Q3-4,It appears to be / It looks like,make a safe guess about the situation,It looks like a team meeting is taking place.
Framing a picture,open the description (Q3–4),Q3-4,The first thing I notice is,lead into the main subject naturally,The first thing I notice is a woman giving a presentation.
Framing a picture,open the description (Q3–4),Q3-4,in the foreground / background,position elements front-to-back,"In the foreground, a man is typing on a laptop."
Framing a picture,open the description (Q3–4),Q3-4,on the left / right / in the centre,position elements left-to-right,"On the right, there are several bookshelves."
Framing a picture,open the description (Q3–4),Q3-4,they seem to be / they appear to be,guess at actions or feelings to add detail,They seem to be enjoying the discussion.
Describing actions & presence,what people are doing (Q3–4),Q3-4,is / are + -ing,present continuous for actions in progress,A waiter is serving food to the customers.
Describing actions & presence,what people are doing (Q3–4),Q3-4,there is / there are,state what exists in the scene,There are a few people standing near the door.
Describing actions & presence,what people are doing (Q3–4),Q3-4,is wearing,describe clothing precisely,The man is wearing a dark suit and glasses.
Describing actions & presence,what people are doing (Q3–4),Q3-4,is holding / carrying,describe what someone has in hand,She is holding a cup of coffee.
Describing actions & presence,what people are doing (Q3–4),Q3-4,next to / behind / in front of,prepositions linking objects in space,There is a plant next to the window.
Describing actions & presence,what people are doing (Q3–4),Q3-4,is filled with / is full of,describe a crowded or busy scene,The room is filled with people.
Answering personal questions,direct answer + extension (Q5–7),Q5-7,I usually / I tend to,describe a habit naturally,I usually go shopping on weekends.
Answering personal questions,direct answer + extension (Q5–7),Q5-7,"Personally, I prefer",state a preference clearly,"Personally, I prefer online shopping to going to the mall."
Answering personal questions,direct answer + extension (Q5–7),Q5-7,mainly because / since,add a reason to fill the time,"I take the bus, mainly because it’s cheaper."
