pair,note,word,pos,def
affect / effect,"Almost always: affect = the action, effect = the result.",affect,verb,to influence or have an impact on
affect / effect,"Almost always: affect = the action, effect = the result.",effect,noun / verb,a result (n); to bring about (v: 'effect change')
economic / economical,An economical car saves fuel; an economic policy concerns the economy.,economic,adj,relating to the economy or finance
economic / economical,An economical car saves fuel; an economic policy concerns the economy.,economical,adj,"thrifty; not wasteful, good value"
principle / principal,The principAL is your pAL (or the main one).,principle,noun,"a rule, law or fundamental truth"
principle / principal,The principAL is your pAL (or the main one).,principal,adj / noun,"main, chief; or a head of a school"
continual / continuous,Continual interruptions stop and start; continuous noise never pauses.,continual,adj,"repeated, happening again and again with breaks"
continual / continuous,Continual interruptions stop and start; continuous noise never pauses.,continuous,adj,"uninterrupted, without any break"
discrete / discreet,Discrete categories are separate; a discreet person keeps a secret.,discrete,adj,"separate, individually distinct"
discrete / discreet,Discrete categories are separate; a discreet person keeps a secret.,discreet,adj,"careful, tactful, unobtrusive"
imply / infer,A text implies; you infer. Reading questions hinge on this direction.,imply,verb,(the speaker/text) to suggest indirectly
imply / infer,A text implies; you infer. Reading questions hinge on this direction.,infer,verb,(the reader/listener) to deduce from evidence
elicit / illicit,Elicit a reaction vs illicit trade.,elicit,verb,"to draw out (a response, information)"
elicit / illicit,Elicit a reaction vs illicit trade.,illicit,adj,"illegal, forbidden"
disinterested / uninterested,"A good judge is disinterested, not uninterested — a classic trap word.",disinterested,adj,"impartial, unbiased"
disinterested / uninterested,"A good judge is disinterested, not uninterested — a classic trap word.",uninterested,adj,"bored, not interested"
historic / historical,A historic event changed the world; a historical novel is set in the past.,historic,adj,"momentous, of great importance"
historic / historical,A historic event changed the world; a historical novel is set in the past.,historical,adj,relating to history / the past
adverse / averse,Adverse weather vs averse to change.,adverse,adj,"unfavourable, harmful"
adverse / averse,Adverse weather vs averse to change.,averse,adj,"opposed to, reluctant ('averse to risk')"
precede / proceed,What precedes X comes first; to proceed is to carry on.,precede,verb,to come before in time or order
precede / proceed,What precedes X comes first; to proceed is to carry on.,proceed,verb,to continue or go ahead
stationary / stationery,StationAry = At rest; stationEry = paper (E).,stationary,adj,"not moving, fixed in place"
stationary / stationery,StationAry = At rest; stationEry = paper (E).,stationery,noun,"writing materials (paper, pens)"
comprise / compose / constitute,The whole comprises the parts; the parts constitute the whole. Avoid 'is comprised of' in precise reading.,comprise,verb,to consist of / be made up of (whole comprises parts)
comprise / compose / constitute,The whole comprises the parts; the parts constitute the whole. Avoid 'is comprised of' in precise reading.,compose,verb,to make up (parts compose the whole)
comprise / compose / constitute,The whole comprises the parts; the parts constitute the whole. Avoid 'is comprised of' in precise reading.,constitute,verb,to form / amount to
practical / practicable,A practical skill vs a practicable plan (one that can actually be carried out).,practical,adj,"useful, hands-on, concerned with action"
practical / practicable,A practical skill vs a practicable plan (one that can actually be carried out).,practicable,adj,"able to be done, feasible"
alternate / alternative,Alternate days = every second day; an alternative = another option.,alternate,adj / verb,every other one; to switch back and forth
alternate / alternative,Alternate days = every second day; an alternative = another option.,alternative,adj / noun,a different option or choice
credible / credulous,A credible source is trustworthy; a credulous reader is easily fooled.,credible,adj,"believable, convincing"
credible / credulous,A credible source is trustworthy; a credulous reader is easily fooled.,credulous,adj,too ready to believe; gullible
ensure / insure / assure,"Ensure a result, insure a car, assure a person.",ensure,verb,to make certain
ensure / insure / assure,"Ensure a result, insure a car, assure a person.",insure,verb,to protect with insurance
ensure / insure / assure,"Ensure a result, insure a car, assure a person.",assure,verb,"to tell someone confidently, reassure"
complement / compliment,Complement = complete; compliment = 'I like it'.,complement,noun / verb,something that completes or goes well with
complement / compliment,Complement = complete; compliment = 'I like it'.,compliment,noun / verb,"praise, a flattering remark"
